f_region,population_region
111,2143995
112,74107
311,261503
312,30852
321,115420
322,19274
411,46681
421,96567
422,89477
431,83329
511,16363
512,23563
513,26366
514,180561
515,150945
521,65199
611,66461
612,160299
621,63542
622,69774
711,107464
731,68957
811,73769
812,13983
813,21489
814,50339
821,43874
831,65058
911,7088
912,42673
913,7791
1011,125243
1111,46457
1112,56317
1121,71822
1122,12806
1123,75505
1124,27931
1131,36676
1211,127358
1212,34775
1213,48197
1214,509651
1215,32662
1216,210585
1221,30232
1222,59168
1311,90762
1321,119353
1322,44185
1331,113674
1411,109328
1412,52829
1421,731824
1511,184151
1512,14975
1521,266319
1522,10662
1611,22731
1612,40577
1613,14978
1614,63107
1615,27427
1616,35353
1617,16436
1621,46260
1622,25871
1623,39122
1711,134067
1712,25916
1713,44214
1721,27534
1722,35603
1723,37217
1724,26318
1811,25013
1812,181645
1813,65931
1821,23736
1911,156516
1912,40560
1921,76075
1922,17436
2011,158190
2012,109807
2019,2105
2111,87398
2121,184370
2122,17148
2211,22046
2212,98595
2221,125822
2311,74521
2312,18836
2319,16060
2331,13856
2411,135944
2412,6152
2413,64523
2414,29957
2415,28256
2419,3527
2511,150545
2512,38069
2519,44909
2521,18269
